,INCIDENTNEIGHBORHOOD,OFFENSES
126,East Allegheny,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession
2648,East Allegheny,3921(a) Theft by Unlawful Taking or Disposition - Movable item
212,East Allegheny,3929 Retail Theft. / 13(a)(16) Possession of Controlled Substance / 5503 Disorderly Conduct. / 9501 Bench Warrant
127,East Allegheny,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use
229,East Allegheny,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2794,East Allegheny,9994 PFA Service
1907,East Allegheny,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1662,East Allegheny,2709 Harassment (Non-Specific)
1025,East Allegheny,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance
1905,East Allegheny,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 1501 Drivers Required to be Licensed. / 3323 Stop Signs and Yield Signs. / 1786 Required Financial Responsibility.
283,East Allegheny,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
633,East Allegheny,3743 Accidents Involving Damage to Attended Veh. or Property
612,East Allegheny,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant
785,East Allegheny,3743 Accidents Involving Damage to Attended Veh. or Property
341,East Allegheny,9999 9999 - (Misc. Incident): Possible Burglary (Undetermined)
961,East Allegheny,4101 Forgery.
2147,East Allegheny,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance
1858,East Allegheny,9497 Aided Case
1810,East Allegheny,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9998 Overdose Other
1343,East Allegheny,3929 Retail Theft.
2513,East Allegheny,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1878,East Allegheny,"6106 Firearms not to be Carried without a License. / 4303 General Lighting Requirements. / 3746 Immediate Notice of Accident to Police Department / 1543 Driving While Operating Privilege is Suspended or Revoked. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
953,East Allegheny,3921 Theft by Unlawful Taking or Disposition.
1794,East Allegheny,9999 9999 - (Misc. Incident): resident possible eviction
2697,East Allegheny,9016 Check on Elderly Person
1705,East Allegheny,9998 Overdose Other
915,East Allegheny,3921(a) Theft by Unlawful Taking or Disposition - Movable item
916,East Allegheny,9999 9999 - (Misc. Incident): 
949,East Allegheny,"6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3802(a)(1) DUI - General Impairment"
39,East Allegheny,2709.1 Stalking Conduct or Repeatedly Acts Including Follows
1410,East Allegheny,3925 Receiving Stolen Property. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance
1955,East Allegheny,9501 Bench Warrant
1170,East Allegheny,9999 9999 - (Misc. Incident): 
797,East Allegheny,9999 9999 - (Misc. Incident): 
2617,East Allegheny,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance
265,East Allegheny,9501 Bench Warrant
1087,East Allegheny,9498 302 (Mental)
2926,East Allegheny,3701 Robbery. / 2701 Simple Assault.
1925,East Allegheny,9489 Found Property
1745,East Allegheny,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant
2251,East Allegheny,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2709,East Allegheny,9129 Miscellaneous Investigation
2708,East Allegheny,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance
2265,East Allegheny,"5104 Resisting Arrest or Other Law Enforcement. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5507 Obstructing Highways and Passages. / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 308 Intoxication or Drugged Condition"
625,East Allegheny,2709(a) Harassment.
982,East Allegheny,9999 9999 - (Misc. Incident): Suspicious Activity
1608,East Allegheny,3745 Accidents Involving Damage to Unattended Veh.or Prop.
549,East Allegheny,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
302,East Allegheny,9994 PFA Service
1719,East Carnegie,9999 9999 - (Misc. Incident): 
2756,East Hills,2701 Simple Assault. / 13(a)(31) Marijuana: Possession Small Amount / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
1846,East Hills,4304(a)(1) Endangering Welfare of Children.
1407,East Hills,6110.1 Possesion of Firearm by Minor
1425,East Hills,2706 Terroristic Threats. / 3304 Criminal Mischief.
1828,East Hills,"6106 Firearms not to be Carried without a License. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 4914(A) False Identification to Law Enforcement"
1844,East Hills,4304(a)(1) Endangering Welfare of Children.
1239,East Hills,3921 Theft by Unlawful Taking or Disposition.
2205,East Hills,9093 Indirect Criminal Contempt
2578,East Hills,2706 Terroristic Threats. / 5505 Public Drunkenness / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 9501 Bench Warrant
2038,East Hills,2701 Simple Assault.
899,East Hills,3748 False Reports.
2932,East Hills,4952 Intimidation of Witnesses or Victims / 2706 Terroristic Threats.
1977,East Hills,9496 Dead on Arrival (DOA)
769,East Hills,9999 9999 - (Misc. Incident): 
245,East Hills,2709(a) Harassment.
1152,East Hills,2701 Simple Assault.
2040,East Hills,3701 Robbery. / 2701 Simple Assault. / 3304 Criminal Mischief. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
1164,East Hills,9998 Overdose Other
1643,East Hills,9999 9999 - (Misc. Incident): 
273,East Hills,9012 Non-Violent Domestic
334,East Hills,3929 Retail Theft.
574,East Hills,9994 PFA Service
895,East Hills,2706 Terroristic Threats.
2921,East Hills,9017 Found Drugs
1617,East Hills,6106 Firearms not to be Carried without a License. / 9501 Bench Warrant
361,East Hills,8106 Shots Fired
577,East Hills,3922 Theft by Deception.
1721,East Hills,9999 9999 - (Misc. Incident): 
2490,East Hills,3745 Accidents Involving Damage to Unattended Veh.or Prop.
101,East Hills,8106 Shots Fired
2649,East Hills,3701 Robbery. / 2702 Aggravated Assault. / 4910 Tampering with or Fabricating Physical Evidence. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 4952 Intimidation of Witnesses or Victims / 2701 Simple Assault. / 2705 Recklessly Endangering Another Person. / 2706 Terroristic Threats. / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 903 Criminal Conspiracy. / 903 Criminal Conspiracy. / 903 Criminal Conspiracy. / 903 Criminal Conspiracy. / 907 Possessing Instruments of Crime.
2088,East Hills,9999 9999 - (Misc. Incident): 
2137,East Liberty,3929 Retail Theft. / 9498 302 (Mental)
1517,East Liberty,3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault.
209,East Liberty,3503(b.1) Criminal Trespass - Simple Trespasser
491,East Liberty,4304(a)(1) Endangering Welfare of Children.
2870,East Liberty,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2866,East Liberty,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5503 Disorderly Conduct."
1311,East Liberty,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc."
898,East Liberty,627.02(b)(i) Possessing a small amount of marijuana / 4524 Windshield Obstructions and Wipers.
2031,East Liberty,2709(a) Harassment.
2217,East Liberty,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1022,East Liberty,2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant / 9494 Summary Warrants / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
1017,East Liberty,3921 Theft by Unlawful Taking or Disposition.
547,East Liberty,2709 Harassment (Non-Specific)
1818,East Liberty,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
1620,East Liberty,3743 Accidents Involving Damage to Attended Veh. or Property
2190,East Liberty,5104 Resisting Arrest or Other Law Enforcement. / 3304 Criminal Mischief. / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 3503(b)(1)(i) Actual Communication
339,East Liberty,2709.A3 HARASSMENT - COURSE OF CONDUCT W/NO LEGIT. PURPOSE
2445,East Liberty,3921 Theft by Unlawful Taking or Disposition.
336,East Liberty,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
2903,East Liberty,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
2449,East Liberty,"2709 Harassment (Non-Specific) / 3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc."
1342,East Liberty,9999 9999 - (Misc. Incident): 
909,East Liberty,3921 Theft by Unlawful Taking or Disposition.
1338,East Liberty,9999 9999 - (Misc. Incident): 
645,East Liberty,3921 Theft by Unlawful Taking or Disposition.
965,East Liberty,4106 Access Device Fraud
2196,East Liberty,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 4914 False Identification to Law Enforcement Authorities"
904,East Liberty,2706 Terroristic Threats.
2329,East Liberty,3929 Retail Theft.
1651,East Liberty,2702 Aggravated Assault. / 2701 Simple Assault. / 2606(a) Aggravated Assault on Unborn Child
772,East Liberty,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
279,East Liberty,3929 Retail Theft.
2880,East Liberty,3743 Accidents Involving Damage to Attended Veh. or Property
2545,East Liberty,3929 Retail Theft.
768,East Liberty,2706 Terroristic Threats.
624,East Liberty,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
2352,East Liberty,9999 9999 - (Misc. Incident): Robbery Call
2019,East Liberty,2701 Simple Assault.
170,East Liberty,3921 Theft by Unlawful Taking or Disposition.
1950,East Liberty,3929 Retail Theft. / 2701 Simple Assault. / 3925 Receiving Stolen Property.
8,East Liberty,9497 Aided Case
1957,East Liberty,3921(a) Theft by Unlawful Taking or Disposition - Movable item
592,East Liberty,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2482,East Liberty,3503(b.1) Criminal Trespass - Simple Trespasser
1153,East Liberty,3743 Accidents Involving Damage to Attended Veh. or Property
2514,East Liberty,2709(a) Harassment. / 5503 Disorderly Conduct.
1469,East Liberty,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2238,East Liberty,3929 Retail Theft.
1227,East Liberty,2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
230,East Liberty,3929 Retail Theft.
1254,East Liberty,9489 Found Property
1253,East Liberty,3934 Theft from Vehicle
831,East Liberty,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1933,East Liberty,8106 Shots Fired / 3354 Additional Parking Regulations.
264,East Liberty,3743 Accidents Involving Damage to Attended Veh. or Property / 1786 Required Financial Responsibility.
1886,East Liberty,3743 Accidents Involving Damage to Attended Veh. or Property
1248,East Liberty,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
2349,East Liberty,"6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 9124 Drug Investigation / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 1511 Carrying and Exhibiting Driver's License on Demand. / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer / 4524 Windshield Obstructions and Wipers."
1928,East Liberty,3503(b.1) Criminal Trespass - Simple Trespasser
861,East Liberty,9497 Aided Case
2407,East Liberty,3929 Retail Theft.
385,East Liberty,3928 Unauthorized Use of Automobile and Other Vehicles.
167,East Liberty,3929 Retail Theft.
1802,East Liberty,9997 Overdose Death
26,East Liberty,3304 Criminal Mischief.
2487,East Liberty,9999 9999 - (Misc. Incident): 
1841,East Liberty,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
2488,East Liberty,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 8106 Shots Fired
1076,East Liberty,3304 Criminal Mischief.
1988,East Liberty,3745 Accidents Involving Damage to Unattended Veh.or Prop.
210,East Liberty,9124 Drug Investigation
293,East Liberty,9999 9999 - (Misc. Incident): 
1486,East Liberty,9498 302 (Mental)
2340,East Liberty,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3744 Duty to Give Information and Render Aid
2364,East Liberty,2701 Simple Assault.
617,East Liberty,3929 Retail Theft. / 3503(b)(1)(i) Actual Communication
28,East Liberty,3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault.
2342,East Liberty,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
138,East Liberty,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2300,East Liberty,3929 Retail Theft.
615,East Liberty,9012 Non-Violent Domestic
2151,East Liberty,3929 Retail Theft.
482,East Liberty,9496 Dead on Arrival (DOA)
1493,East Liberty,3304 Criminal Mischief.
1601,Elliott,8106 Shots Fired
2117,Elliott,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1578,Elliott,3921(a) Theft by Unlawful Taking or Disposition - Movable item
